week,Q,available,I,S,forecast_demand
0,17322.09,0.0,0.0,19321.57,19321.57
1,20000.0,0.0,0.0,1234.61,1234.61
2,428.82,17322.09,1607.17,0.0,15714.91
3,14067.62,21607.17,0.0,0.0,21607.17
4,20000.0,428.82,0.0,0.0,428.82
5,20000.0,14067.62,8432.59,0.0,5635.04
6,17809.31,28432.59,28432.59,0.0,0.0
7,20000.0,48432.59,0.0,0.0,48432.59
8,20000.0,17809.31,6308.73,0.0,11500.58
9,20000.0,26308.73,21286.35,0.0,5022.38
10,20000.0,41286.35,40000.0,0.0,1286.35
11,16272.04,60000.0,12343.2,0.0,47656.8
12,20000.0,32343.2,0.0,41574.38,73917.58
13,20000.0,16272.04,13037.75,0.0,3234.29
14,20000.0,33037.75,30033.11,0.0,3004.65
15,20000.0,50033.11,40000.0,0.0,10033.11
16,20000.0,60000.0,0.0,11837.84,71837.84
17,20000.0,20000.0,11891.44,0.0,8108.56
18,20000.0,31891.44,0.0,6090.11,37981.55
19,20000.0,20000.0,8795.9,0.0,11204.1
20,20000.0,28795.9,15475.81,0.0,13320.08
21,20000.0,35475.81,17515.02,0.0,17960.79
22,20000.0,37515.02,10107.3,0.0,27407.73
23,20000.0,30107.3,27327.01,0.0,2780.28
24,0.0,47327.01,0.0,7920.25,55247.27
25,0.0,20000.0,0.0,19326.65,39326.65
